"","monthyear_date","site","mths_since_stop","precip","precip_lag","tested","cases","proportion_rdt","count_rdt","notsuspect","suspect","tpr","tpr_adj_cases","cases_adjusted","time_cat","month"
"47",2015-03-01,"Aduku",11,6.29212713241577,9.90209770202637,294,37,0.0748299319727891,22,631,304,0.125850340136054,1.25850340136054,38,2,3
"48",2015-03-01,"Anyeke",4,4.68153715133667,6.99963760375977,272,39,0.985294117647059,268,2444,373,0.143382352941176,14.4816176470588,53,1,3
"49",2015-03-01,"Aboke",4,4.24688386917114,9.2957820892334,242,54,0.971074380165289,235,1467,254,0.223140495867769,2.67768595041322,57,1,3
"50",2015-04-01,"Aduku",12,6.82073259353638,6.29212713241577,263,69,0.186311787072243,49,582,285,0.262357414448669,5.77186311787072,75,2,4
"51",2015-04-01,"Anyeke",5,6.45354652404785,4.68153715133667,292,57,0.98972602739726,289,1801,433,0.195205479452055,27.5239726027397,85,1,4
"52",2015-04-01,"Aboke",5,6.13308525085449,4.24688386917114,190,26,0.847368421052632,161,1160,200,0.136842105263158,1.36842105263158,27,1,4
"53",2015-05-01,"Aduku",13,4.91794157028198,6.82073259353638,806,455,0.0297766749379653,24,862,1101,0.564516129032258,166.532258064516,622,2,5
"54",2015-05-01,"Anyeke",6,5.13775730133057,6.45354652404785,1005,617,0.901492537313433,906,1751,1236,0.613930348258707,141.817910447761,759,1,5
"55",2015-05-01,"Aboke",6,5.1633505821228,6.13308525085449,386,262,0.686528497409326,265,1487,425,0.678756476683938,26.4715025906736,288,1,5
"56",2015-06-01,"Aduku",14,4.8507776260376,4.91794157028198,850,442,0.00470588235294118,4,909,1410,0.52,291.2,733,2,6
"57",2015-06-01,"Anyeke",7,4.11510038375854,5.13775730133057,1342,934,0.981371087928465,1317,2856,1541,0.695976154992548,138.499254843517,1072,1,6
"58",2015-06-01,"Aboke",7,3.85357570648193,5.1633505821228,955,657,0.880628272251309,841,2012,985,0.687958115183246,20.6387434554974,678,1,6
"59",2015-07-01,"Aduku",15,1.22937059402466,4.8507776260376,1140,578,0.00350877192982456,4,1256,1147,0.507017543859649,3.54912280701754,582,2,7
"60",2015-07-01,"Anyeke",8,0.85440719127655,4.11510038375854,884,610,0.592760180995475,524,3193,936,0.690045248868778,35.8823529411765,646,1,7
"61",2015-07-01,"Aboke",8,0.947540760040283,3.85357570648193,1115,769,0.960538116591928,1071,1335,1246,0.689686098654709,90.3488789237668,859,1,7
"62",2015-08-01,"Aduku",16,14.148832321167,1.22937059402466,1069,541,0.0299345182413471,32,821,1072,0.506080449017774,1.51824134705332,543,2,8
"63",2015-08-01,"Anyeke",9,11.3197269439697,0.85440719127655,906,609,0.816777041942605,740,1345,1568,0.672185430463576,444.986754966887,1054,1,8
